"Unit_quarter","taxon_name","Agility","PhysicalProtection","Metabolites","above","epi","hemi","eu","density","Bodymass.mg","ind.Loss.Jh","Biomass.mg","pop.Loss.Jh","efficiency"
"U10qB","Tullbergiidae",1,1,0.4,0,0,1,1,339.130434782609,0.00883531626023573,0.000613951416006326,2.9963246447756,0.208209610645624,0.906
"U10qB","Chironomidae_ad",1,1,1,1,0.5,1,0,11.1111111111111,0.243455809372782,0.00600115248927768,2.70506454858646,0.0666794721030853,0.906
"U10qB","Polydesmidae_small",1,0.4,0.7,0,1,1,0,11.1111111111111,0.78287474641261,0.0134503133713507,8.69860829347344,0.14944792634834,0.906
"U10qC","plants",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.545
"U10qC","detritus",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.158
"U10qC","microbes",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.906
"U10qC","Acrobeloides",1,1,1,0,0,1,1,1230.17824216349,0.0012632,0.000158844722442483,1.55396115550092,0.195407321431242,0.906
"U10qC","Alaimus",1,1,1,0,0,1,1,1230.17824216349,0.0005606,9.03105565318815e-05,0.689637922556853,0.111098081683196,0.906
"U10qC","Aporcelaimus",1,1,1,0,0,1,1,2460.35648432698,0.0780079,0.0027900573085129,191.927242593731,6.86453559064361,0.906
"U10qC","Boleodorus",1,1,1,0,0,1,1,2460.35648432698,0.0001001,2.72692490880287e-05,0.246281684081131,0.067092073816459,0.906
"U10qC","Cephalobus",1,1,1,0,0,1,1,2460.35648432698,0.0002662,5.38172187183306e-05,0.654946896127842,0.132409543042088,0.906
"U10qC","Chiloplacus",1,1,1,0,0,1,1,3690.53472649047,0.0005343,8.73441520718232e-05,1.97185270436386,0.322346626376928,0.906
"U10qC","Clarkus",1,1,1,0,0,1,1,1230.17824216349,0.003897,0.00034756980334886,4.79400460971112,0.427572809712811,0.906
"U10qC","Diphtherophora",1,1,1,0,0,1,1,4920.71296865396,0.0005039,8.38591893402611e-05,2.47954726490473,0.412647000527431,0.906
"U10qC","Ecumenicus",1,1,1,0,0,1,1,3690.53472649047,0.0006347,9.84495086540664e-05,2.3423823909035,0.363331330493756,0.906
"U10qC","Eudorylaimus",1,1,1,0,0,1,1,3690.53472649047,0.0031351,0.000298794376676986,11.5701954210203,1.10271102320649,0.906
"U10qC","Heterocephalobus",1,1,1,0,0,1,1,3690.53472649047,0.0003559,6.58542124268413e-05,1.31346130915796,0.243037257846938,0.906
"U10qC","Meloidogyne",1,1,1,0,0,1,1,9841.42593730793,0.0869854,0.0030095072132639,856.060371727105,29.6178423471307,0.906
"U10qC","Paramphidelus",1,1,1,0,0,1,1,1230.17824216349,0.000198,4.38101595436465e-05,0.243575291948371,0.053894305056305,0.906
"U10qC","Paratylenchus",1,1,1,0,0,1,1,3690.53472649047,5.13e-05,1.71349346082443e-05,0.189324431468961,0.0632370712078689,0.906
"U10qC","Plectus",1,1,1,0,0,1,1,2460.35648432698,0.0008578,0.000121378295323782,2.11049379225568,0.298633875956423,0.906
"U10qC","Pratylenchus",1,1,1,0,0,1,1,2460.35648432698,0.0001438,3.5077213891464e-05,0.35379926244622,0.0863024506499878,0.906
"U10qC","Prodesmodora",1,1,1,0,0,1,1,2460.35648432698,0.0001804,4.10652099615153e-05,0.443848309772587,0.101035055609063,0.906
"U10qC","Prodorylaimus",1,1,1,0,0,1,1,12301.7824216349,0.0056305,0.000448875490063727,69.2651859250153,5.5219686131687,0.906
"U10qC","Pungentus",1,1,1,0,0,1,1,2460.35648432698,0.001935,0.000213651571870967,4.76078979717271,0.525659030239385,0.906
"U10qC","Rhabditis",1,1,1,0,0,1,1,1230.17824216349,0.0074997,0.000547848020570088,9.22596776275353,0.673950714917659,0.906
"U10qC","Tylencholaimus",1,1,1,0,0,1,1,25833.7430854333,0.0004137,7.31158757223937e-05,10.6874195144438,1.88885674887879,0.906
"U10qC","Tylolaimophorus",1,1,1,0,0,1,1,1230.17824216349,0.0008719,0.000122761610819562,1.07259240934235,0.151018662603167,0.906
"U10qC","Isotomidae_large",0.7,1,1,0.5,1,0.5,0,620.689655172414,0.0514526952038941,0.00208926064640636,31.9361556437963,1.29678247018326,0.906
"U10qC","Isotomidae_medium",0.7,1,1,0,0,1,0.5,1986.20689655172,0.0115716406280603,0.00074058932368236,22.9836724198714,1.47096362221048,0.906
"U10qC","Isotomidae_small",0.7,1,1,0,0,1,0.5,993.103448275862,0.00351806211193009,0.000323714524774427,3.49379961460643,0.321482010810465,0.906
"U10qC","Macrochelidae",1,0.7,1,0,0,1,0.5,127.272727272727,0.0269263894142542,0.000397546554855572,3.42699501635962,0.0505968342543454,0.906
"U10qC","Oppiidae",1,0.4,0.7,0,0,1,0.5,254.545454545455,0.00300811076615137,5.20072941729413e-05,0.765700922293077,0.0132382203349305,0.906
"U10qC","Oribatida_juv",1,0.4,0.7,0,0,1,0.5,509.090909090909,0.00083011473385454,2.16865423359359e-05,0.422603864507766,0.0110404215528401,0.906
"U10qC","Prostigmata_juv_undet",1,0.7,1,0,0.5,1,0.5,254.545454545455,0.00208126654285739,4.03163344276516e-05,0.529776938181882,0.0102623396724931,0.906
"U10qC","Rhodacaridae",1,0.7,1,0,0,1,0.5,254.545454545455,0.0047447611269627,0.000119890912410608,1.20775737777233,0.0305176867954276,0.906
"U10qC","Elateridae_larva",1,0.4,1,0,0,1,1,22.2222222222222,2.50833754441117,0.0352346020482126,55.7408343202482,0.782991156626946,0.906
"U10qC","Nematocera_larva",1,1,1,1,1,1,0,55.5555555555556,0.10959863137432,0.00327484133428922,6.08881285412889,0.181935629682735,0.906
"U10qC","Staphylinidae_ad",1,0.4,0.4,1,1,1,1,33.3333333333333,0.281580976873223,0.00670168565792352,9.38603256244076,0.223389521930784,0.906
"U10qC","Valloniidae",1,0.4,0.4,0.5,1,1,0,33.3333333333333,3.40893034894591,0.0385356668753983,113.63101163153,1.28452222917994,0.906
"U10qD","plants",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.545
"U10qD","detritus",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.158
"U10qD","microbes",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.906
"U10qD","Acrobeloides",1,1,1,0,0,1,1,2289.58938525555,0.0012632,0.000158844722442483,2.89220931145481,0.363689190408174,0.906
"U10qD","Anaplectus",1,1,1,0,0,1,1,2289.58938525555,0.0014974,0.000178778259257617,3.42843114548166,0.409328804710704,0.906
"U10qD","Aphelenchoides",1,1,1,0,0,1,1,2289.58938525555,0.0001512,3.63222469939831e-05,0.346185915050639,0.0831630311660541,0.906
"U10qD","Aphelenchus",1,1,1,0,0,1,1,2289.58938525555,0.000218,4.68406332484432e-05,0.49913048598571,0.107245816684284,0.906
"U10qD","Aporcelaimellus",1,1,1,0,0,1,1,2289.58938525555,0.0090478,0.000624176995380846,20.7157468399152,1.42910902314469,0.906
"U10qD","Aulolaimus",1,1,1,0,0,1,1,2289.58938525555,0.0002968,5.80453477461961e-05,0.679550129543847,0.132900012063158,0.906
"U10qD","Cephalobus",1,1,1,0,0,1,1,2289.58938525555,0.0002662,5.38172187183306e-05,0.609488694355028,0.123219332721466,0.906
"U10qD","Clarkus",1,1,1,0,0,1,1,2289.58938525555,0.003897,0.00034756980334886,8.92252983434088,0.79579213238291,0.906
"U10qD","Criconema",1,1,1,0,0,1,1,2289.58938525555,0.0006589,0.000101043680797943,1.50861044594488,0.231348539002121,0.906
"U10qD","Diphtherophora",1,1,1,0,0,1,1,6868.76815576666,0.0005039,8.38591893402611e-05,3.46117227369082,0.576009329308793,0.906
"U10qD","Discolaimium",1,1,1,0,0,1,1,9158.35754102221,0.001191,0.000152477768774857,10.9076038313575,1.39644592349745,0.906
"U10qD","Eudorylaimus",1,1,1,0,0,1,1,2289.58938525555,0.0031351,0.000298794376676986,7.17809168171468,0.684116433213677,0.906
"U10qD","Helicotylenchus",1,1,1,0,0,1,1,2289.58938525555,0.0002937,5.76232737628211e-05,0.672452402449555,0.13193363595103,0.906
"U10qD","Meloidogyne",1,1,1,0,0,1,1,9158.35754102221,0.0869854,0.0030095072132639,796.643394048833,27.5621430813562,0.906
"U10qD","Merlinius",1,1,1,0,0,1,1,2289.58938525555,0.0002527,5.19051789177572e-05,0.578579237654077,0.118841546689887,0.906
"U10qD","Paratylenchus",1,1,1,0,0,1,1,4579.17877051111,5.13e-05,1.71349346082443e-05,0.23491187092722,0.0784639287921683,0.906
"U10qD","Pratylenchus",1,1,1,0,0,1,1,2289.58938525555,0.0001438,3.5077213891464e-05,0.329242953599748,0.0803124165902344,0.906
"U10qD","Prodorylaimus",1,1,1,0,0,1,1,2289.58938525555,0.0056305,0.000448875490063727,12.8915330336814,1.02774055735129,0.906
"U10qD","Thonus",1,1,1,0,0,1,1,2289.58938525555,0.0018915,0.000210301576219869,4.33075832221087,0.481504256615524,0.906
"U10qD","Thornia",1,1,1,0,0,1,1,4579.17877051111,0.0008752,0.000123084377531614,4.00769725995132,0.563625368574343,0.906
"U10qD","Trichodorus",1,1,1,0,0,1,1,2289.58938525555,0.000987,0.000133811205085846,2.25982472324723,0.306372714792807,0.906
"U10qD","Tylencholaimus",1,1,1,0,0,1,1,34343.8407788333,0.0004137,7.31158757223937e-05,14.2080469302033,2.51107999421485,0.906
"U10qD","Tylolaimophorus",1,1,1,0,0,1,1,2289.58938525555,0.0008719,0.000122761610819562,1.99629298500431,0.281073681049341,0.906
"U10qD","Isotomidae_large",0.7,1,1,0.5,1,0.5,0,600,0.0614857185806474,0.00236465383684761,36.8914311483884,1.41879230210857,0.906
"U10qD","Isotomidae_medium",0.7,1,1,0,0,1,0.5,700,0.00882393691555505,0.000613401693336832,6.17675584088853,0.429381185335782,0.906
"U10qD","Isotomidae_small",0.7,1,1,0,0,1,0.5,100,0.00351806211193009,0.000323714524774427,0.351806211193009,0.0323714524774427,0.906
"U10qD","Oribatida_juv",1,0.4,0.7,0,0,1,0.5,100,0.0016212615684289,3.41738190138135e-05,0.16212615684289,0.00341738190138135,0.906
"U10qD","Pygmephoridae",1,0.7,1,0,0.5,1,0.5,100,0.00144974703037862,3.17575553275012e-05,0.144974703037862,0.00317575553275012,0.906
"U10qD","Rhodacaridae",1,0.7,1,0,0,1,0.5,200,0.0037165110186855,0.000101283851563839,0.7433022037371,0.0202567703127678,0.906
"U10qD","Lithobiidae_large",1,1,1,0,0.5,1,0,11.1111111111111,2.77216062658225,0.052041666110299,30.8017847398027,0.578240734558878,0.906
"U10qD","Nematocera_larva",1,1,1,1,1,1,0,11.1111111111111,0.0639588163197231,0.00217611150977305,0.710653514663589,0.0241790167752561,0.906
"U10qD","Schendylidae",1,1,1,0,0,1,1,11.1111111111111,0.12495590311654,0.0092281664033132,1.38839892351711,0.102535182259035,0.906
"U11qA","plants",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.545
"U11qA","detritus",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.158
"U11qA","microbes",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.906
"U11qA","Anatonchus",1,1,1,0,0,1,1,6501.7679558011,0.0092758,0.000635068179360488,60.3090992044198,4.12906593831496,0.906
"U11qA","Aphelenchus",1,1,1,0,0,1,1,3250.88397790055,0.000218,4.68406332484432e-05,0.70869270718232,0.15227346414208,0.906
"U11qA","Clarkus",1,1,1,0,0,1,1,26007.0718232044,0.003897,0.00034756980334886,101.349558895028,9.03927283927084,0.906
"U11qA","Coslenchus",1,1,1,0,0,1,1,3250.88397790055,9.99e-05,2.723136728358e-05,0.324763309392265,0.0885260155985154,0.906
"U11qA","Diphtherophora",1,1,1,0,0,1,1,3250.88397790055,0.0005039,8.38591893402611e-05,1.63812043646409,0.272616495025984,0.906
"U11qA","Eudorylaimus",1,1,1,0,0,1,1,3250.88397790055,0.0031351,0.000298794376676986,10.191846359116,0.971345851825997,0.906
"U11qA","Helicotylenchus",1,1,1,0,0,1,1,143038.895027624,0.0002937,5.76232737628211e-05,42.0105234696132,8.2423694069082,0.906
"U11qA","Microdorylaimus",1,1,1,0,0,1,1,3250.88397790055,0.0002009,4.42551718892248e-05,0.653102591160221,0.143868429233916,0.906
"U11qA","Mylonchulus",1,1,1,0,0,1,1,6501.7679558011,0.0017233,0.000197119715232653,11.204496718232,1.2816266479563,0.906
"U11qA","Paraxonchium",1,1,1,0,0,1,1,6501.7679558011,0.0055726,0.000445662050842061,36.2317521104972,2.89759124128151,0.906
"U11qA","Psilenchus",1,1,1,0,0,1,1,6501.7679558011,0.0005515,8.92890594400146e-05,3.58572502762431,0.580536745470707,0.906
"U11qA","Rotylenchus",1,1,1,0,0,1,1,19505.3038674033,0.0008595,0.000121545443618733,16.7648086740331,2.37078081148173,0.906
"U11qA","Sectonema",1,1,1,0,0,1,1,3250.88397790055,0.053299,0.00214108943563952,173.268865138121,6.96043334157266,0.906
"U11qA","Thornia",1,1,1,0,0,1,1,6501.7679558011,0.0008752,0.000123084377531614,5.69034731491712,0.800266061694776,0.906
"U11qA","Tylencholaimellus",1,1,1,0,0,1,1,3250.88397790055,0.0007092,0.000106344769456536,2.30552691712707,0.345714507159781,0.906
"U11qA","Tylencholaimus",1,1,1,0,0,1,1,16254.4198895028,0.0004137,7.31158757223937e-05,6.72445350828731,1.18845614458049,0.906
"U11qA","Hypochthoniidae",1,0.4,0.7,0,0,1,0.5,680,0.013902875002751,0.000147135397558765,9.45395500187068,0.10005207033996,0.906
"U11qA","Isotomidae_large",0.7,1,1,0.5,1,0.5,0,209.523809523809,0.0288882004956968,0.00139877195334826,6.05276581814598,0.293076028320586,0.906
"U11qA","Isotomidae_medium",0.7,1,1,0,0,1,0.5,1571.42857142857,0.00817359853495732,0.000581613516595586,12.8442262692186,0.913964097507349,0.906
"U11qA","Isotomidae_small",0.7,1,1,0,0,1,0.5,104.761904761905,0.00351806211193009,0.000323714524774427,0.368558887916486,0.0339129502144638,0.906
"U11qA","Oribatida_juv",1,0.4,0.7,0,0,1,0.5,566.666666666667,0.00333065896596989,5.57336042567277e-05,1.88737341404961,0.0315823757454791,0.906
"U11qA","Pauropoda",1,1,1,0,0,1,1,100,0.00351806211193009,0.000613158445346261,0.351806211193009,0.0613158445346261,0.906
"U11qA","Prostigmata_juv_undet",1,0.7,1,0,0.5,1,0.5,340,0.0013351585480821,3.00779350330999e-05,0.453953906347914,0.010226497911254,0.906
"U11qA","Sminthurididae",0.7,1,1,0.5,1,0.5,0,314.285714285714,0.00225740344004616,0.000237807721807615,0.709469652585935,0.0747395697109647,0.906
"U11qA","Stigmaeidae",1,0.7,1,0,0.5,1,0.5,113.333333333333,0.0101527678451476,0.000114733206634184,1.15064702245006,0.0130030967518742,0.906
"U11qA","Blaniulidae_large",1,0.4,0.7,0,1,1,0.5,22.2222222222222,19.4563804266793,0.0843265823862073,432.364009481762,1.87392405302683,0.906
"U11qA","Blaniulidae_small",1,0.4,0.7,0,1,1,0.5,88.8888888888889,1.99804015171761,0.0229730104960938,177.603569041565,2.04204537743056,0.906
"U11qA","Campodeidae",1,1,1,0,0,1,1,33.3333333333333,0.266397974220845,0.00655177033018554,8.87993247402816,0.218392344339518,0.906
"U11qA","Lithobiidae_large",1,1,1,0,0.5,1,0,66.6666666666667,2.01321374424503,0.0435326714224403,134.214249616335,2.90217809482935,0.906
"U11qA","Lithobiidae_small",1,1,1,0,0.5,1,0,33.3333333333333,0.126008190621902,0.00927145752095429,4.20027302073006,0.30904858403181,0.906
"U11qA","Staphylinidae_ad",1,0.4,0.4,1,1,1,1,11.1111111111111,0.235492419933742,0.0058515885676055,2.61658244370824,0.0650176507511722,0.906
"U11qB","plants",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.545
"U11qB","detritus",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.158
"U11qB","microbes",NA,NA,NA,NA,NA,NA,NA,1,1,0.0164306772297771,1,0,0.906
"U11qB","Acrobeloides",1,1,1,0,0,1,1,5646.54843589013,0.0012632,0.000158844722442483,7.13271998421641,0.896924419057007,0.906
"U11qB","Alaimus",1,1,1,0,0,1,1,2823.27421794506,0.0005606,9.03105565318815e-05,1.58272752658,0.254971465864731,0.906
"U11qB","Allodorylaimus",1,1,1,0,0,1,1,2823.27421794506,0.0038241,0.000343037537450992,10.7964829368437,0.968489035272748,0.906
"U11qB","Amphidelus",1,1,1,0,0,1,1,2823.27421794506,0.0013065,0.000162609813170636,3.68860776574522,0.459092093109521,0.906
"U11qB","Aphelenchus",1,1,1,0,0,1,1,11293.0968717803,0.000218,4.68406332484432e-05,2.46189511804811,0.528975808810203,0.906
"U11qB","Aporcelaimellus",1,1,1,0,0,1,1,14116.3710897253,0.0090478,0.000624176995380846,127.722102345617,8.81111409246578,0.906
"U11qB","Aporcelaimus",1,1,1,0,0,1,1,2823.27421794506,0.0780079,0.0027900573085129,220.237692866036,7.87709686571367,0.906
"U11qB","Cephalobus",1,1,1,0,0,1,1,2823.27421794506,0.0002662,5.38172187183306e-05,0.751555596816975,0.151940766088973,0.906
"U11qB","Chiloplacus",1,1,1,0,0,1,1,2823.27421794506,0.0005343,8.73441520718232e-05,1.50847541464805,0.246596492632651,0.906
