"taxon_name","group","class","order","family","Abbreviation","Agility","PhysicalProtection","Metabolites","above","epi","hemi","eu"
"Euphthiracaridae","mesofauna","Arachnida","Sarcoptiformes","Euphthiracaridae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Hypochthoniidae","mesofauna","Arachnida","Sarcoptiformes","Hypochthoniidae","Ori-C",1,0.4,0.7,0,0,1,0.5
"Oppiidae","mesofauna","Arachnida","Sarcoptiformes","Oppiidae","Ori-C",1,0.4,0.7,0,0,1,0.5
"Oribatulidae","mesofauna","Arachnida","Sarcoptiformes","Oribatulidae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Protoribatidae","mesofauna","Arachnida","Sarcoptiformes","Protoribatidae","Ori-M",1,0.4,0.7,0,0,1,0.5
"Scheloribatidae","mesofauna","Arachnida","Sarcoptiformes","Scheloribatidae","Ori",1,0.4,0.7,0,0,1,0.5
"Tectocepheidae","mesofauna","Arachnida","Sarcoptiformes","Tectocepheidae","Ori",1,0.4,0.7,0,0,1,0.5
"Oribatida_juv","mesofauna","Arachnida","Sarcoptiformes",NA,"Ori",1,0.4,0.7,0,0,1,0.5
"Eupodidae","mesofauna","Arachnida","Trombidiformes","Eupodidae","Prost",1,0.7,1,0,0.5,1,0.5
"Penthaleidae","mesofauna","Arachnida","Trombidiformes","Penthaleidae","Prost",1,0.7,1,0,0.5,1,0.5
"Pygmephoridae","mesofauna","Arachnida","Trombidiformes","Pygmephoridae","Prost",1,0.7,1,0,0.5,1,0.5
"Rhagidiidae","mesofauna","Arachnida","Trombidiformes","Rhagidiidae","Prost",1,0.7,1,0,0.5,1,0.5
"Scutacaridae","mesofauna","Arachnida","Trombidiformes","Scutacaridae","Prost",1,0.7,1,0,0.5,1,0.5
"Stigmaeidae","mesofauna","Arachnida","Trombidiformes","Stigmaeidae","Prost",1,0.7,1,0,0.5,1,0.5
"Tydaeidae","mesofauna","Arachnida","Trombidiformes","Tydaeidae","Prost",1,0.7,1,0,0.5,1,0.5
"Prostigmata_juv_undet","mesofauna","Arachnida","Trombidiformes",NA,"Prost",1,0.7,1,0,0.5,1,0.5
"Entomobryidae_large","mesofauna","Collembola","Entomobryomorpha","Entomobryidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Entomobryidae_medium","mesofauna","Collembola","Entomobryomorpha","Entomobryidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Isotomidae_large","mesofauna","Collembola","Entomobryomorpha","Isotomidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Isotomidae_medium","mesofauna","Collembola","Entomobryomorpha","Isotomidae","Cla-D",0.7,1,1,0,0,1,0.5
"Isotomidae_small","mesofauna","Collembola","Entomobryomorpha","Isotomidae","Cla-D",0.7,1,1,0,0,1,0.5
"Neelidae","mesofauna","Collembola","Neelipleona","Neelidae","Cla-D",0.7,1,1,0,0,1,0.5
"Hypogastruridae","mesofauna","Collembola","Poduromorpha","Hypogastruridae","Cla",0.7,1,1,0,1,1,1
"Onychiuridae","mesofauna","Collembola","Poduromorpha","Onychiuridae","Cla-On",1,1,0.4,0,0,1,1
"Tullbergiidae","mesofauna","Collembola","Poduromorpha","Tullbergiidae","Cla-On",1,1,0.4,0,0,1,1
"Arrhopalitidae","mesofauna","Collembola","Symphypleona","Arrhopalitidae","Cla-D",0.7,1,1,0,0,1,0.5
"Katiannidae","mesofauna","Collembola","Symphypleona","Katiannidae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Sminthurididae","mesofauna","Collembola","Symphypleona","Sminthurididae","Cla-A",0.7,1,1,0.5,1,0.5,0
"Pauropoda","mesofauna","Pauropoda","Tetramerocerata","Pauropodidae","Pau",1,1,1,0,0,1,1
"Protura","mesofauna","Protura","Protura","Eosentomidae","Protu",1,1,1,0,0,1,1
"Symphyla","mesofauna","Symphyla","Symphyla",NA,"Sym",1,1,0.4,0,0,1,1
"Linyphiidae_ad","macrofauna","Arachnida","Araneae","Linyphiidae","Ar-La-We",1,1,1,0,1,0.5,0
"Linyphiidae_juv","macrofauna","Arachnida","Araneae","Linyphiidae","Ar-Sm-We",1,1,1,0,0.5,1,0
"Geophilidae","macrofauna","Chilopoda","Geophilomorpha","Geophilidae","Chi-Ge",1,1,1,0,0,1,1
"Schendylidae","macrofauna","Chilopoda","Geophilomorpha","Schendylidae","Chi-Ge",1,1,1,0,0,1,1
"Lithobiidae_large","macrofauna","Chilopoda","Lithobiomorpha","Lithobiidae","Chi-Li",1,1,1,0,0.5,1,0
"Lithobiidae_small","macrofauna","Chilopoda","Lithobiomorpha","Lithobiidae","Chi-Li",1,1,1,0,0.5,1,0
"Blaniulidae_large","macrofauna","Diplopoda","Julida","Blaniulidae","Dpod",1,0.4,0.7,0,1,1,0.5
"Blaniulidae_small","macrofauna","Diplopoda","Julida","Blaniulidae","Dpod",1,0.4,0.7,0,1,1,0.5
"Julidae","macrofauna","Diplopoda","Julida","Julidae","Dpod",1,0.4,0.7,0,1,1,0.5
"Polydesmidae_large","macrofauna","Diplopoda","Polydesmida","Polydesmidae","Dpod-L",1,0.4,0.7,0,1,1,0
"Polydesmidae_small","macrofauna","Diplopoda","Polydesmida","Polydesmidae","Dpod-L",1,0.4,0.7,0,1,1,0
"Campodeidae","macrofauna","Diplura","Diplura","Campodeidae","Dplu-D",1,1,1,0,0,1,1
"Ferussaciidae","macrofauna","Gastropoda","Stylommatophora","Ferussaciidae","Ga-Sn",1,0.4,0.4,0.5,1,1,0
"Valloniidae","macrofauna","Gastropoda","Stylommatophora","Valloniidae","Ga-Sn",1,0.4,0.4,0.5,1,1,0
"Curculionidae_ad","macrofauna","Insecta","Coleoptera","Curculionidae","Cpt-H-H",1,0.4,1,0,0,1,1
"Elateridae_larva","macrofauna","Insecta","Coleoptera","Elateridae","Cpt-O",1,0.4,1,0,0,1,1
"Staphylinidae_ad","macrofauna","Insecta","Coleoptera","Staphylinidae","Cpt-P-Sta",1,0.4,0.4,1,1,1,1
"Chironomidae_ad","macrofauna","Insecta","Diptera","Chironomidae","Dipt-M",1,1,1,1,0.5,1,0
"Nematocera_larva","macrofauna","Insecta","Diptera",NA,"Dipt",1,1,1,1,1,1,0
"Aphididae","macrofauna","Insecta","Hemiptera","Aphididae","He-Ste",1,0.7,0.7,0,1,1,1
"Coccidae","macrofauna","Insecta","Hemiptera","Coccidae","He-Ste",1,0.7,0.7,0,1,1,1
